Typ;Nr;Namn;Address1;Address2;Address3;Address4;Address5;RT90x;RT90y
Butik;102;Fältöversten;Karlaplan 13;;115 20;STOCKHOLM;Stockholms län;6582011;1630064
Butik;104;;Nybrogatan 47;;114 39;STOCKHOLM;Stockholms län;6581787;1629382
Butik;106;Garnisonen;Karlavägen 100 A;;115 26;STOCKHOLM;Stockholms län;6581720;1630377
Butik;110;;Hötorgshallen;;111 57;STOCKHOLM;Stockholms län;6581443.113;1628483.985
Butik;113;;Klarabergsgatan 62;;111 21;STOCKHOLM;Stockholms län;6581151;1628300
Butik;114;PK-Huset;Norrlandsgatan 3;;111 47;STOCKHOLM;Stockholms län;6581348.98;1628962.251
Butik;116;;Drottninggatan 22;;111 51;STOCKHOLM;Stockholms län;6581037;1628616
Butik;132;Marieberg;Rålambsvägen 7-9;;112 59;STOCKHOLM;Stockholms län;6580676;1625947
Butik;133;;Kungsholmstorg 11 A;;112 21;STOCKHOLM;Stockholms län;6580745;1627343
Butik;134;;Lindhagensgatan 118;;112 51;STOCKHOLM;Stockholms län;6581680;1625435
Butik;135;;Ångermannagatan 165;;162 65;VÄLLINGBY;Stockholms län;6584334;1617652
Butik;137;;Fleminggatan 56;;112 45;STOCKHOLM;Stockholms län;6581458;1626624
Butik;138;;Odengatan 92;;113 22;STOCKHOLM;Stockholms län;6582135;1627265
Butik;140;Torsplan;Solnavägen 2b;;S-113 65;STOCKHOLM;Stockholms län;6582767.095;1626747.961
Butik;143;Odenplan;Odengatan 58;;113 22;STOCKHOLM;Stockholms län;6582461;1627884
Butik;144;Jarlaplan;Birger Jarlsgatan 84;;114 20;STOCKHOLM;Stockholms län;6582620;1628484
Butik;145;;Sveavägen 66;;111 34;STOCKHOLM;Stockholms län;6581989;1628333
Butik;146;;Vasagatan 25;;111 20;STOCKHOLM;Stockholms län;6581457;1628077
Butik;147;Brommaplan;Klädesvägen 12;;168 76;BROMMA;Stockholms län;6581729;1621475
Butik;148;;Hässelby Torg 3;;165 55;HÄSSELBY;Stockholms län;6584696;1615877
Butik;150;;Kista Galleria;;164 91;KISTA;Stockholms län;6588823.336;1621493.13
Butik;151;Bromma Blocks;Ulvsundavägen 189 A;;S-168 67;BROMMA;Stockholms län;6583670;1622217
Butik;163;Ringen;Götgatan 132;;S-118 62;STOCKHOLM;Stockholms län;6578584;1629331
Butik;165;;Folkungagatan 56;;S-116 22;STOCKHOLM;Stockholms län;6579247;1629262
Butik;166;Söderhallarna;Medborgarplatsen 3;;118 26;STOCKHOLM;Stockholms län;6579281;1629032
Butik;167;;Folkungagatan 101;;S-116 30;STOCKHOLM;Stockholms län;6579419;1629788
Butik;168;;Gullmarsplan 4-6;;S-121 40;JOHANNESHOV;Stockholms län;6577496;1629545
Butik;170;Globen;Slakthusgatan 3-5;;121 62;JOHANNESHOV;Stockholms län;6576764;1629653
Butik;171;Liljeholmen;Liljeholmstorget 3, plan 1;;117 63;STOCKHOLM;Stockholms län;6578641;1626263
Butik;172;;Rosenlundsgatan 7;;118 53;STOCKHOLM;Stockholms län;6579483;1628162
Butik;173;Hammarby Sjöstad;Lugnets Allé 26-28;;120 66;STOCKHOLM;Stockholms län;6577945;1630863
Butik;174;;Långholmsgatan 21A;;S-117 33;STOCKHOLM;Stockholms län;6579419;1626918
Butik;176;;Västbergavägen 4;;12630;Hägersten;Stockholms län;6576902.241;1625281.754
Butik;177;;Högdalsgången 19;;124 54;BANDHAGEN;Stockholms län;6573564;1627470
Butik;178;;Farstaplan 27;;S-123 47;FARSTA;Stockholms län;6571337;1630460
Butik;180;;Fruängsgången 10;;129 52;HÄGERSTEN;Stockholms län;6575853;1623050
Butik;182;;Skärholmsplan 1;;127 48;SKÄRHOLMEN;Stockholms län;6574717;1619970
Butik;201;;Postgången 28;;171 45;SOLNA;Stockholms län;6584237;1624809
Butik;202;;Landsvägen 53 B;;172 65;SUNDBYBERG;Stockholms län;6584281;1622984
Butik;204;;Söderhamnen 10;;185 31;VAXHOLM;Stockholms län;6589550;1644635
Butik;205;;Centrumtorget;;763 00;HALLSTAVIK;Stockholms län;6662319;1655444
Butik;206;;Tullportsgatan 12;;761 30;NORRTÄLJE;Stockholms län;6629948;1662690
Butik;207;;Stora Gatan 56 C;;193 30;SIGTUNA;Stockholms län;6612198;1608078
Butik;208;;Lunagallerian;;151 72;SÖDERTÄLJE;Stockholms län;6565397;1604088
Butik;209;;Genetaleden 7;;151 59;SÖDERTÄLJE;Stockholms län;6564261;1601112
Butik;210;;Mörbyvägen 3;;149 31;NYNÄSHAMN;Stockholms län;6533261;1623371
Butik;211;;Friggavägen 24;;181 32;LIDINGÖ;Stockholms län;6585132;1632476
Butik;212;Arninge;Saluvägen 5;;187 66;TÄBY;Stockholms län;6595729;1632265
Butik;213;Mörby Centrum;Golfvägen 6A;;182 31;DANDERYD;Stockholms län;6588398;1626774
Butik;214;Jakobsbergs Centrum;Banérstråket;;S-177 30;JÄRFÄLLA;Stockholms län;6591022;1615351
Butik;215;Täby Centrum;Norra Galleriagången 1024;;183 34;TÄBY;Stockholms län;6593479;1628295
Butik;216;;Sollentuna Centrum;;191 47;SOLLENTUNA;Stockholms län;6591691;1621815
Butik;217;;Kommunalvägen 18;;141 47;HUDDINGE;Stockholms län;6570392.808;1624152.762
Butik;218;;Nymärsta Kulle 3;;195 30;MÄRSTA;Stockholms län;6612944;1615673
Butik;219;Väsby Centrum;Dragonvägen 86;;194 33;UPPLANDS VÄSBY;Stockholms län;6601702;1619136
Butik;220;;Forum;;S-131 53;NACKA;Stockholms län;6578963;1634331
Butik;221;;Marknadsgränd 29;;135 40;TYRESÖ;Stockholms län;6571675;1638416
Butik;222;Haninge Centrum;Drakslingan 12;;136 46;HANINGE;Stockholms län;6563348;1633511
Butik;223;;Centrum;;S-134 30;GUSTAVSBERG;Stockholms län;6581309;1647235
Butik;224;;Torggatan 19;;S-133 31;SALTSJÖBADEN;Stockholms län;6576366;1640791
Butik;225;;Tumba Torg 8;;147 01;TUMBA;Stockholms län;6565937;1615878
Butik;226;Botkyrka;Kumla Gårdsväg 30 A;;145 63;NORSBORG;Stockholms län;6570287.417;1615685.029
Butik;227;Skogås Centrum;Skogåsplan 9 bv;;142 30;SKOGÅS;Stockholms län;6568637;1634130
Butik;228;;Storängstorget 1;;184 30;ÅKERSBERGA;Stockholms län;6598093;1641290
Butik;229;;Tuna Torg 19;;186 31;VALLENTUNA;Stockholms län;6603903;1628598
Butik;230;Orminge Centrum;Ormingeplan 3;;S-132 30;SALTSJÖ-BOO;Stockholms län;6581002;1639572
Butik;231;Ekerö Centrum;Ångbåtsvägen 4;;178 30;EKERÖ;Stockholms län;6576156;1614352
Butik;232;Kungens Kurva;Tangentvägen 2;;141 75;KUNGENS KURVA;Stockholms län;6574107.314;1620698.02
Butik;234;Salem Centrum;Säby Torg 5;;144 30;RÖNNINGE;Stockholms län;6566141;1612076
Butik;235;;Kyrkvägen 4 A;;196 30;KUNGSÄNGEN;Stockholms län;6597090;1610260
Butik;236;;Köpmannagatan 2;;762 31;RIMBO;Stockholms län;6627660;1644016
Butik;237;Sickla;Siroccogatan 7;;131 54;NACKA;Stockholms län;6578275;1632466
Butik;238;Mölnvik;Fenix Väg 4;;S-134 44;GUSTAVSBERG;Stockholms län;6579896.447;1649187.164
Butik;239;Västerhaninge centrum;Kyrkvägen 2;;137 38;VÄSTERHANINGE;Stockholms län;6557982;1631801
Butik;240;Rotebro;Konsumentvägen 1;;192 68;SOLLENTUNA;Stockholms län;6596372;1619580
Butik;241;;Viksjö Centrum;;S-175 45;JÄRFÄLLA;Stockholms län;6589540;1613484
Butik;242;;Centrumvägen 2;;155 30;NYKVARN;Stockholms län;6563044;1592942
Butik;243;Barkarby;Majorsvägen 2 D;;177 44;JÄRFÄLLA;Stockholms län;6590020;1616802
Butik;244;Mall of Scandinavia;Råsta Strandväg 13C;;169 79;Solna;Stockholms län;6585235.789;1625151.209
Butik;245;Haninge Söderby;Österport 2;;136 65;HANINGE;Stockholms län;6564602.199;1634535.833
